,Banzhaf,Myerson,Owen-Data,Owen-Domain,Owen-Model,R-Myerson,SHAP
Banzhaf,1.0,0.30512547014178737,0.976583776101537,0.00025704544892990455,0.018351964665553666,6.078593388414433e-06,0.15569519072563975
Myerson,0.30512547014178737,1.0,0.847902153056476,0.30512547014178737,0.930955307882299,0.05034341834936307,0.9999020095897005
Owen-Data,0.976583776101537,0.847902153056476,1.0,0.008708044138862503,0.19820230777094228,0.0004177726751543043,0.6584190384863603
Owen-Domain,0.00025704544892990455,0.30512547014178737,0.008708044138862503,1.0,0.9309553078822992,0.988273321355063,0.5106708205693642
Owen-Model,0.018351964665553666,0.930955307882299,0.19820230777094228,0.9309553078822992,1.0,0.5106708205693644,0.9882733213550629
R-Myerson,6.078593388414433e-06,0.05034341834936307,0.0004177726751543043,0.988273321355063,0.5106708205693644,1.0,0.12028035697878647
SHAP,0.15569519072563975,0.9999020095897005,0.6584190384863603,0.5106708205693642,0.9882733213550629,0.12028035697878647,1.0
